.NET Framework 4.7.2
File read & write test with 28,61 MB done in 02:22:41:948!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|----|----|----|----|----|----|----|----|----|----|----|----|----|
|Buffer 1024 Chunk 1024 (29297 times)|00:1299553|0|00:1405063|8.12|14:7803109|11273.38|13:3764260|10193.1|-|-|-|-|
|Buffer 1024 Chunk 2048 (14649 times)|00:0713338|-45.11|00:0731726|-43.69|09:4657205|7183.83|10:0605037|7641.51|-|-|-|-|
|Buffer 1024 Chunk 4096 (7325 times)|00:0592691|-54.39|00:0566784|-56.39|07:0234176|5304.49|07:0793583|5347.53|-|-|-|-|
|Buffer 1024 Chunk 8192 (3663 times)|00:0325257|-74.97|00:0344113|-73.52|04:1869492|3121.84|04:5321211|3387.45|-|-|-|-|
|Buffer 1024 Chunk 16384 (1832 times)|00:0231617|-82.18|00:0251728|-80.63|02:5220786|1840.73|02:5291909|1846.2|-|-|-|-|
|Buffer 1024 Chunk 32768 (916 times)|00:0174641|-86.56|00:0160608|-87.64|01:7537948|1249.54|01:8490700|1322.85|-|-|-|-|
|Buffer 1024 Chunk 65536 (458 times)|00:0170380|-86.89|00:0175593|-86.49|01:3062411|905.15|01:4712651|1032.13|-|-|-|-|
|Buffer 1024 Chunk 131072 (229 times)|00:0140651|-89.18|00:0147771|-88.63|00:9415035|624.48|00:9806747|654.62|-|-|-|-|
|Buffer 1024 Chunk 262144 (115 times)|00:0146573|-88.72|00:0121946|-90.62|00:7418700|470.87|00:7249878|457.87|-|-|-|-|
|Buffer 2048 Chunk 1024 (29297 times)|00:0730368|-43.8|00:0781197|-39.89|09:7747972|7421.66|09:2194193|6994.3|-|-|-|-|
|Buffer 2048 Chunk 2048 (14649 times)|00:0878942|-32.37|00:0731262|-43.73|09:5467969|7246.22|09:8720264|7496.48|-|-|-|-|
|Buffer 2048 Chunk 4096 (7325 times)|00:0509320|-60.81|00:0445448|-65.72|06:8188555|5147.08|06:8445129|5166.82|-|-|-|-|
|Buffer 2048 Chunk 8192 (3663 times)|00:0274593|-78.87|00:0269453|-79.27|04:2157821|3144.02|04:4151083|3297.41|-|-|-|-|
|Buffer 2048 Chunk 16384 (1832 times)|00:0222599|-82.87|00:0185856|-85.7|02:5375356|1852.62|02:7742240|2034.75|-|-|-|-|
|Buffer 2048 Chunk 32768 (916 times)|00:0156451|-87.96|00:0160469|-87.65|01:7935138|1280.1|01:8294429|1307.75|-|-|-|-|
|Buffer 2048 Chunk 65536 (458 times)|00:0153839|-88.16|00:0163993|-87.38|01:2823018|886.73|01:4109761|985.74|-|-|-|-|
|Buffer 2048 Chunk 131072 (229 times)|00:0142339|-89.05|00:0133234|-89.75|00:9672436|644.29|00:8698002|569.31|-|-|-|-|
|Buffer 2048 Chunk 262144 (115 times)|00:0138089|-89.37|00:0126871|-90.24|00:7845195|503.68|00:7142594|449.62|-|-|-|-|
|Buffer 4096 Chunk 1024 (29297 times)|00:0465332|-64.19|00:0423464|-67.41|08:2079810|6216|06:6883231|5046.63|-|-|-|-|
|Buffer 4096 Chunk 2048 (14649 times)|00:0448262|-65.51|00:0543658|-58.17|06:5487206|4939.21|06:9185809|5223.82|-|-|-|-|
|Buffer 4096 Chunk 4096 (7325 times)|00:0500125|-61.52|00:0429872|-66.92|06:7321925|5080.39|06:6987628|5054.67|-|-|-|-|
|Buffer 4096 Chunk 8192 (3663 times)|00:0274825|-78.85|00:0249887|-80.77|03:9268233|2921.67|04:2747936|3189.43|-|-|-|-|
|Buffer 4096 Chunk 16384 (1832 times)|00:0190139|-85.37|00:0214056|-83.53|02:6829375|1964.51|02:7436693|2011.24|-|-|-|-|
|Buffer 4096 Chunk 32768 (916 times)|00:0174618|-86.56|00:0172398|-86.73|01:7645469|1257.81|01:7597136|1254.09|-|-|-|-|
|Buffer 4096 Chunk 65536 (458 times)|00:0146727|-88.71|00:0140710|-89.17|01:3381680|929.71|01:3717921|955.59|-|-|-|-|
|Buffer 4096 Chunk 131072 (229 times)|00:0138442|-89.35|00:0134646|-89.64|00:8277817|536.97|00:9272472|613.51|-|-|-|-|
|Buffer 4096 Chunk 262144 (115 times)|00:0131826|-89.86|00:0140462|-89.19|00:6775539|421.37|00:7178570|452.39|-|-|-|-|
|Buffer 8192 Chunk 1024 (29297 times)|00:0369497|-71.57|00:0286953|-77.92|04:2600433|3178.08|04:1640128|3104.19|-|-|-|-|
|Buffer 8192 Chunk 2048 (14649 times)|00:0295461|-77.26|00:0291719|-77.55|03:7485546|2784.5|04:1300500|3078.05|-|-|-|-|
|Buffer 8192 Chunk 4096 (7325 times)|00:0303167|-76.67|00:0262001|-79.84|04:2983746|3207.58|04:1353839|3082.16|-|-|-|-|
|Buffer 8192 Chunk 8192 (3663 times)|00:0258958|-80.07|00:0254412|-80.42|03:9553448|2943.62|04:3207862|3224.82|-|-|-|-|
|Buffer 8192 Chunk 16384 (1832 times)|00:0212833|-83.62|00:0227385|-82.5|02:6310893|1924.61|02:5439846|1857.58|-|-|-|-|
|Buffer 8192 Chunk 32768 (916 times)|00:0157819|-87.86|00:0155431|-88.04|01:7680674|1260.52|01:7747092|1265.63|-|-|-|-|
|Buffer 8192 Chunk 65536 (458 times)|00:0157895|-87.85|00:0156905|-87.93|01:3940715|972.73|01:3954112|973.76|-|-|-|-|
|Buffer 8192 Chunk 131072 (229 times)|00:0150242|-88.44|00:0137874|-89.39|00:8711893|570.38|00:8963735|589.76|-|-|-|-|
|Buffer 8192 Chunk 262144 (115 times)|00:0124345|-90.43|00:0133326|-89.74|00:7553008|481.2|00:6452182|396.49|-|-|-|-|
|Buffer 16384 Chunk 1024 (29297 times)|00:0218325|-83.2|00:0259148|-80.06|02:6409428|1932.19|02:6069289|1906.02|-|-|-|-|
|Buffer 16384 Chunk 2048 (14649 times)|00:0204640|-84.25|00:0209344|-83.89|02:4717193|1801.98|02:7438867|2011.41|-|-|-|-|
|Buffer 16384 Chunk 4096 (7325 times)|00:0259282|-80.05|00:0201322|-84.51|02:5123516|1833.24|02:4774629|1806.4|-|-|-|-|
|Buffer 16384 Chunk 8192 (3663 times)|00:0221361|-82.97|00:0200111|-84.6|02:5040016|1826.82|02:5527267|1864.31|-|-|-|-|
|Buffer 16384 Chunk 16384 (1832 times)|00:0192392|-85.2|00:0224322|-82.74|02:4335152|1772.58|02:6865863|1967.32|-|-|-|-|
|Buffer 16384 Chunk 32768 (916 times)|00:0157599|-87.87|00:0161767|-87.55|01:7283134|1229.93|01:7920259|1278.96|-|-|-|-|
|Buffer 16384 Chunk 65536 (458 times)|00:0160482|-87.65|00:0139252|-89.28|01:2129299|833.34|01:2525087|863.8|-|-|-|-|
|Buffer 16384 Chunk 131072 (229 times)|00:0134296|-89.67|00:0133605|-89.72|00:9604130|639.03|00:7914400|509.01|-|-|-|-|
|Buffer 16384 Chunk 262144 (115 times)|00:0135084|-89.61|00:0125923|-90.31|00:7162373|451.14|00:6878024|429.26|-|-|-|-|
|Buffer 32768 Chunk 1024 (29297 times)|00:0214632|-83.48|00:0204159|-84.29|01:7172647|1221.43|01:7672036|1259.85|-|-|-|-|
|Buffer 32768 Chunk 2048 (14649 times)|00:0178388|-86.27|00:0165998|-87.23|01:7864297|1274.65|01:9234278|1380.07|-|-|-|-|
|Buffer 32768 Chunk 4096 (7325 times)|00:0167785|-87.09|00:0178703|-86.25|01:9179037|1375.82|01:7515271|1247.79|-|-|-|-|
|Buffer 32768 Chunk 8192 (3663 times)|00:0163003|-87.46|00:0174436|-86.58|01:6972688|1206.04|01:8927624|1356.47|-|-|-|-|
|Buffer 32768 Chunk 16384 (1832 times)|00:0172206|-86.75|00:0161758|-87.55|01:8695808|1338.63|01:9149601|1373.55|-|-|-|-|
|Buffer 32768 Chunk 32768 (916 times)|00:0199323|-84.66|00:0156087|-87.99|01:7386741|1237.9|01:8083771|1291.54|-|-|-|-|
|Buffer 32768 Chunk 65536 (458 times)|00:0153596|-88.18|00:0148326|-88.59|01:3040133|903.43|01:2159952|835.7|-|-|-|-|
|Buffer 32768 Chunk 131072 (229 times)|00:0132888|-89.77|00:0133234|-89.75|01:0618458|717.09|00:9381328|621.89|-|-|-|-|
|Buffer 32768 Chunk 262144 (115 times)|00:0136490|-89.5|00:0123639|-90.49|00:6629419|410.13|00:8503668|554.35|-|-|-|-|
|Buffer 65536 Chunk 1024 (29297 times)|00:0160564|-87.64|00:0156466|-87.96|01:3624464|948.4|01:3304229|923.75|-|-|-|-|
|Buffer 65536 Chunk 2048 (14649 times)|00:0157048|-87.92|00:0165529|-87.26|01:4209714|993.43|01:4389459|1007.26|-|-|-|-|
|Buffer 65536 Chunk 4096 (7325 times)|00:0162469|-87.5|00:0153987|-88.15|01:4832351|1041.34|01:3138665|911.01|-|-|-|-|
|Buffer 65536 Chunk 8192 (3663 times)|00:0169475|-86.96|00:0162743|-87.48|01:3326443|925.46|01:4111157|985.85|-|-|-|-|
|Buffer 65536 Chunk 16384 (1832 times)|00:0149448|-88.5|00:0175402|-86.5|01:3671928|952.05|01:3842220|965.15|-|-|-|-|
|Buffer 65536 Chunk 32768 (916 times)|00:0171790|-86.78|00:0162393|-87.5|01:4159719|989.58|01:4076208|983.16|-|-|-|-|
|Buffer 65536 Chunk 65536 (458 times)|00:0147650|-88.64|00:0149866|-88.47|01:2386292|853.12|01:1911736|816.6|-|-|-|-|
|Buffer 65536 Chunk 131072 (229 times)|00:0156807|-87.93|00:0139572|-89.26|00:9577292|636.97|00:9450143|627.18|-|-|-|-|
|Buffer 65536 Chunk 262144 (115 times)|00:0126154|-90.29|00:0129060|-90.07|00:6749629|419.38|00:6789288|422.43|-|-|-|-|
|Buffer 131072 Chunk 1024 (29297 times)|00:0153065|-88.22|00:0152388|-88.27|01:0548167|711.68|01:0432800|702.8|-|-|-|-|
|Buffer 131072 Chunk 2048 (14649 times)|00:0165139|-87.29|00:0176581|-86.41|01:0162053|681.97|01:0893830|738.28|-|-|-|-|
|Buffer 131072 Chunk 4096 (7325 times)|00:0154388|-88.12|00:0153198|-88.21|01:0391802|699.64|01:0231543|687.31|-|-|-|-|
|Buffer 131072 Chunk 8192 (3663 times)|00:0154463|-88.11|00:0183313|-85.89|00:9364401|620.59|01:0975950|744.59|-|-|-|-|
|Buffer 131072 Chunk 16384 (1832 times)|00:0150459|-88.42|00:0169753|-86.94|00:9647501|642.37|01:0073427|675.15|-|-|-|-|
|Buffer 131072 Chunk 32768 (916 times)|00:0150732|-88.4|00:0147991|-88.61|00:9923172|663.58|01:1334896|772.21|-|-|-|-|
|Buffer 131072 Chunk 65536 (458 times)|00:0157469|-87.88|00:0143777|-88.94|00:9341378|618.81|00:9503300|631.27|-|-|-|-|
|Buffer 131072 Chunk 131072 (229 times)|00:0133381|-89.74|00:0133032|-89.76|01:0262749|689.71|00:8115362|524.47|-|-|-|-|
|Buffer 131072 Chunk 262144 (115 times)|00:0128578|-90.11|00:0122786|-90.55|00:6945659|434.47|00:7202356|454.22|-|-|-|-|
|Buffer 262144 Chunk 1024 (29297 times)|00:0158736|-87.79|00:0155211|-88.06|00:8567062|559.23|00:7853909|504.35|-|-|-|-|
|Buffer 262144 Chunk 2048 (14649 times)|00:0146517|-88.73|00:0147995|-88.61|00:8026263|517.62|00:7826031|502.21|-|-|-|-|
|Buffer 262144 Chunk 4096 (7325 times)|00:0150052|-88.45|00:0152744|-88.25|00:7722236|494.22|00:8684569|568.27|-|-|-|-|
|Buffer 262144 Chunk 8192 (3663 times)|00:0148402|-88.58|00:0178734|-86.25|00:8270668|536.42|00:9261041|612.63|-|-|-|-|
|Buffer 262144 Chunk 16384 (1832 times)|00:0175297|-86.51|00:0145164|-88.83|00:8591560|561.12|00:9031651|594.98|-|-|-|-|
|Buffer 262144 Chunk 32768 (916 times)|00:0145935|-88.77|00:0140438|-89.19|00:7974631|513.64|00:8856922|581.54|-|-|-|-|
|Buffer 262144 Chunk 65536 (458 times)|00:0144796|-88.86|00:0138915|-89.31|00:7318743|463.17|00:7703654|492.79|-|-|-|-|
|Buffer 262144 Chunk 131072 (229 times)|00:0144454|-88.88|00:0145775|-88.78|00:7775903|498.35|00:7730110|494.83|-|-|-|-|
|Buffer 262144 Chunk 262144 (115 times)|00:0132792|-89.78|00:0141784|-89.09|00:6641521|411.06|00:7761348|497.23|-|-|-|-|



|Read (0 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|----|----|----|----|----|----|----|----|----|----|----|----|----|
|Buffer 1024 Chunk 1024 (29297 times)|00:0693528|0|00:0710824|2.49|00:0669411|-3.48|00:0657125|-5.25|07:4468101|10637.58|07:6023792|10861.89|
|Buffer 1024 Chunk 2048 (14649 times)|00:0413247|-40.41|00:0418607|-39.64|00:0378762|-45.39|00:0380645|-45.11|06:2801137|8955.31|06:1207828|8725.57|
|Buffer 1024 Chunk 4096 (7325 times)|00:0252132|-63.65|00:0254117|-63.36|00:0234341|-66.21|00:0233471|-66.34|05:5336759|7879.02|05:4874337|7812.35|
|Buffer 1024 Chunk 8192 (3663 times)|00:0195099|-71.87|00:0969654|39.81|00:0156050|-77.5|00:0155658|-77.56|03:4540572|4880.41|03:4097032|4816.46|
|Buffer 1024 Chunk 16384 (1832 times)|00:0129369|-81.35|00:0151184|-78.2|00:0120893|-82.57|00:0120359|-82.65|01:9149941|2661.24|01:9075561|2650.51|
|Buffer 1024 Chunk 32768 (916 times)|00:0106821|-84.6|00:0114131|-83.54|00:0097841|-85.89|00:0098965|-85.73|01:0445271|1406.11|01:1408246|1544.96|
|Buffer 1024 Chunk 65536 (458 times)|00:0110316|-84.09|00:0099151|-85.7|00:0089699|-87.07|00:0099201|-85.7|00:7167297|933.45|00:6801753|880.75|
|Buffer 1024 Chunk 131072 (229 times)|00:0126005|-81.83|00:0093505|-86.52|00:0090102|-87.01|00:0088628|-87.22|00:5518934|695.78|00:5370986|674.44|
|Buffer 1024 Chunk 262144 (115 times)|00:0108210|-84.4|00:0097165|-85.99|00:0089188|-87.14|00:0090964|-86.88|00:4457097|542.67|00:4352282|527.56|
|Buffer 2048 Chunk 1024 (29297 times)|00:0435731|-37.17|00:0427983|-38.29|00:0400338|-42.28|00:0394858|-43.07|06:4208425|9158.23|06:1614897|8784.27|
|Buffer 2048 Chunk 2048 (14649 times)|00:0404167|-41.72|00:0395882|-42.92|00:0416539|-39.94|00:0385645|-44.39|05:9170895|8431.87|05:7502915|8191.36|
|Buffer 2048 Chunk 4096 (7325 times)|00:0300556|-56.66|00:0242678|-65.01|00:0238017|-65.68|00:0234772|-66.15|05:3449087|7606.84|05:3337001|7590.68|
|Buffer 2048 Chunk 8192 (3663 times)|00:0175709|-74.66|00:0163055|-76.49|00:0158291|-77.18|00:0156283|-77.47|03:4095261|4816.21|03:3262522|4696.13|
|Buffer 2048 Chunk 16384 (1832 times)|00:0125751|-81.87|00:0152073|-78.07|00:0117848|-83.01|00:0119140|-82.82|01:7203939|2380.64|01:9722959|2743.86|
|Buffer 2048 Chunk 32768 (916 times)|00:0120690|-82.6|00:0117201|-83.1|00:0098947|-85.73|00:0098840|-85.75|01:1706085|1587.9|01:0389371|1398.05|
|Buffer 2048 Chunk 65536 (458 times)|00:0105651|-84.77|00:0096892|-86.03|00:0089814|-87.05|00:0093107|-86.57|00:7704355|1010.89|00:7685964|1008.24|
|Buffer 2048 Chunk 131072 (229 times)|00:0107097|-84.56|00:0106977|-84.57|00:0090267|-86.98|00:0092836|-86.61|00:5083975|633.06|00:4556017|556.93|
|Buffer 2048 Chunk 262144 (115 times)|00:0101941|-85.3|00:0119703|-82.74|00:0103179|-85.12|00:0089314|-87.12|00:4111503|492.84|00:4222860|508.9|
|Buffer 4096 Chunk 1024 (29297 times)|00:0278842|-59.79|00:0265872|-61.66|00:0257134|-62.92|00:0264862|-61.81|05:0818855|7227.59|04:7207236|6706.82|
