.NET (Core) 5
File read & write test with 28,61 MB done in 02:24:22:825!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|----|----|----|----|----|----|----|----|----|----|----|----|----|
|Buffer 1024 Chunk 1024 (29297 times)|00:1514422|0|00:1344081|-11.25|12:8214473|8366.23|14:5611195|9514.97|-|-|-|-|
|Buffer 1024 Chunk 2048 (14649 times)|00:0809042|-46.58|00:0850539|-43.84|09:5818163|6227.05|10:2449789|6664.94|-|-|-|-|
|Buffer 1024 Chunk 4096 (7325 times)|00:0393193|-74.04|00:0402147|-73.45|07:3480633|4752.06|06:9281778|4474.8|-|-|-|-|
|Buffer 1024 Chunk 8192 (3663 times)|00:0284247|-81.23|00:0253829|-83.24|03:9462508|2505.78|04:5522209|2905.91|-|-|-|-|
|Buffer 1024 Chunk 16384 (1832 times)|00:0184822|-87.8|00:0190130|-87.45|02:2170001|1363.92|02:3734706|1467.25|-|-|-|-|
|Buffer 1024 Chunk 32768 (916 times)|00:0155146|-89.76|00:0159365|-89.48|01:5149005|900.32|01:9196198|1167.56|-|-|-|-|
|Buffer 1024 Chunk 65536 (458 times)|00:0146648|-90.32|00:0157379|-89.61|00:9533242|529.5|01:1917940|686.96|-|-|-|-|
|Buffer 1024 Chunk 131072 (229 times)|00:0137896|-90.89|00:0149258|-90.14|00:7655279|405.49|00:9918684|554.95|-|-|-|-|
|Buffer 1024 Chunk 262144 (115 times)|00:0143447|-90.53|00:0130422|-91.39|00:6152120|306.24|00:7526611|397|-|-|-|-|
|Buffer 2048 Chunk 1024 (29297 times)|00:0834628|-44.89|00:0815218|-46.17|08:6947833|5641.32|10:1458573|6599.49|-|-|-|-|
|Buffer 2048 Chunk 2048 (14649 times)|00:0670693|-55.71|00:0691043|-54.37|09:3153515|6051.09|09:5387037|6198.58|-|-|-|-|
|Buffer 2048 Chunk 4096 (7325 times)|00:0456660|-69.85|00:0392543|-74.08|06:9762710|4506.56|07:7073272|4989.29|-|-|-|-|
|Buffer 2048 Chunk 8192 (3663 times)|00:0323515|-78.64|00:0260950|-82.77|04:0288666|2560.33|04:2392305|2699.24|-|-|-|-|
|Buffer 2048 Chunk 16384 (1832 times)|00:0227682|-84.97|00:0193310|-87.24|02:0933107|1282.25|02:4595984|1524.12|-|-|-|-|
|Buffer 2048 Chunk 32768 (916 times)|00:0156396|-89.67|00:0154905|-89.77|01:3703684|804.88|01:8651558|1131.6|-|-|-|-|
|Buffer 2048 Chunk 65536 (458 times)|00:0153233|-89.88|00:0150756|-90.05|01:0494621|592.98|01:3260174|775.59|-|-|-|-|
|Buffer 2048 Chunk 131072 (229 times)|00:0137407|-90.93|00:0136967|-90.96|00:8546171|464.32|00:9960979|557.74|-|-|-|-|
|Buffer 2048 Chunk 262144 (115 times)|00:0149754|-90.11|00:0146071|-90.35|00:6102422|302.95|00:7139958|371.46|-|-|-|-|
|Buffer 4096 Chunk 1024 (29297 times)|00:0669961|-55.76|00:0426401|-71.84|07:0609547|4562.47|07:2975054|4718.67|-|-|-|-|
|Buffer 4096 Chunk 2048 (14649 times)|00:0389979|-74.25|00:0406195|-73.18|07:3437498|4749.21|07:3614746|4760.91|-|-|-|-|
|Buffer 4096 Chunk 4096 (7325 times)|00:0497968|-67.12|00:0386452|-74.48|07:3279667|4738.79|06:7948088|4386.73|-|-|-|-|
|Buffer 4096 Chunk 8192 (3663 times)|00:0267253|-82.35|00:0260655|-82.79|03:7214354|2357.33|04:2837500|2728.64|-|-|-|-|
|Buffer 4096 Chunk 16384 (1832 times)|00:0202629|-86.62|00:0181208|-88.03|02:3140944|1428.04|02:2308992|1373.1|-|-|-|-|
|Buffer 4096 Chunk 32768 (916 times)|00:0185880|-87.73|00:0164744|-89.12|01:6158375|966.97|01:7845929|1078.4|-|-|-|-|
|Buffer 4096 Chunk 65536 (458 times)|00:0149374|-90.14|00:0148056|-90.22|01:0627531|601.75|01:3907542|818.34|-|-|-|-|
|Buffer 4096 Chunk 131072 (229 times)|00:0136476|-90.99|00:0136412|-90.99|00:9876250|552.15|00:9004152|494.56|-|-|-|-|
|Buffer 4096 Chunk 262144 (115 times)|00:0125792|-91.69|00:0129328|-91.46|00:5550773|266.53|00:7019250|363.49|-|-|-|-|
|Buffer 8192 Chunk 1024 (29297 times)|00:0363718|-75.98|00:0279157|-81.57|04:4880789|2863.56|03:7949312|2405.86|-|-|-|-|
|Buffer 8192 Chunk 2048 (14649 times)|00:0349797|-76.9|00:0265466|-82.47|03:5674424|2255.65|04:2651402|2716.35|-|-|-|-|
|Buffer 8192 Chunk 4096 (7325 times)|00:0286604|-81.08|00:0333667|-77.97|03:7931384|2404.68|04:1456753|2637.46|-|-|-|-|
|Buffer 8192 Chunk 8192 (3663 times)|00:0258112|-82.96|00:0312755|-79.35|03:7699049|2389.34|04:2192376|2686.04|-|-|-|-|
|Buffer 8192 Chunk 16384 (1832 times)|00:0199216|-86.85|00:0227996|-84.95|02:2279894|1371.18|02:4437024|1513.62|-|-|-|-|
|Buffer 8192 Chunk 32768 (916 times)|00:0167345|-88.95|00:0161673|-89.32|01:3118728|766.25|01:8661184|1132.23|-|-|-|-|
|Buffer 8192 Chunk 65536 (458 times)|00:0143037|-90.56|00:0144190|-90.48|01:2412636|719.63|01:2989399|757.71|-|-|-|-|
|Buffer 8192 Chunk 131072 (229 times)|00:0141907|-90.63|00:0136653|-90.98|00:6844582|351.96|00:9893333|553.27|-|-|-|-|
|Buffer 8192 Chunk 262144 (115 times)|00:0155216|-89.75|00:0128543|-91.51|00:5518996|264.43|00:7289258|381.32|-|-|-|-|
|Buffer 16384 Chunk 1024 (29297 times)|00:0239184|-84.21|00:0198937|-86.86|02:3815089|1472.55|02:5491410|1583.24|-|-|-|-|
|Buffer 16384 Chunk 2048 (14649 times)|00:0204887|-86.47|00:0239166|-84.21|02:0393565|1246.62|02:5020759|1552.17|-|-|-|-|
|Buffer 16384 Chunk 4096 (7325 times)|00:0213283|-85.92|00:0211206|-86.05|02:2942065|1414.91|02:5143920|1560.3|-|-|-|-|
|Buffer 16384 Chunk 8192 (3663 times)|00:0201551|-86.69|00:0207163|-86.32|02:4705940|1531.38|02:5280793|1569.34|-|-|-|-|
|Buffer 16384 Chunk 16384 (1832 times)|00:0196396|-87.03|00:0217114|-85.66|02:1445940|1316.11|02:4340517|1507.25|-|-|-|-|
|Buffer 16384 Chunk 32768 (916 times)|00:0166910|-88.98|00:0152096|-89.96|01:5762185|940.81|01:7502647|1055.73|-|-|-|-|
|Buffer 16384 Chunk 65536 (458 times)|00:0163397|-89.21|00:0152797|-89.91|01:0209995|574.18|01:2787092|744.35|-|-|-|-|
|Buffer 16384 Chunk 131072 (229 times)|00:0134885|-91.09|00:0151066|-90.02|00:7372593|386.83|00:9441811|523.46|-|-|-|-|
|Buffer 16384 Chunk 262144 (115 times)|00:0141052|-90.69|00:0134531|-91.12|00:5390320|255.93|00:7605382|402.2|-|-|-|-|
|Buffer 32768 Chunk 1024 (29297 times)|00:0169978|-88.78|00:0165981|-89.04|01:4595723|863.78|01:7035008|1024.85|-|-|-|-|
|Buffer 32768 Chunk 2048 (14649 times)|00:0165487|-89.07|00:0171180|-88.7|01:5587251|929.25|01:8606277|1128.61|-|-|-|-|
|Buffer 32768 Chunk 4096 (7325 times)|00:0174165|-88.5|00:0186017|-87.72|01:6870918|1014.02|01:7999187|1088.52|-|-|-|-|
|Buffer 32768 Chunk 8192 (3663 times)|00:0159793|-89.45|00:0161625|-89.33|01:6541878|992.29|01:9146464|1164.28|-|-|-|-|
|Buffer 32768 Chunk 16384 (1832 times)|00:0165406|-89.08|00:0178295|-88.23|01:7263089|1039.91|01:8659355|1132.11|-|-|-|-|
|Buffer 32768 Chunk 32768 (916 times)|00:0164121|-89.16|00:0188137|-87.58|01:8105558|1095.54|01:7924125|1083.56|-|-|-|-|
|Buffer 32768 Chunk 65536 (458 times)|00:0151600|-89.99|00:0148334|-90.21|00:9078771|499.49|01:3944954|820.81|-|-|-|-|
|Buffer 32768 Chunk 131072 (229 times)|00:0131391|-91.32|00:0137663|-90.91|00:8120218|436.19|00:9415456|521.72|-|-|-|-|
|Buffer 32768 Chunk 262144 (115 times)|00:0130781|-91.36|00:0125872|-91.69|00:5171118|241.46|00:6467550|327.06|-|-|-|-|
|Buffer 65536 Chunk 1024 (29297 times)|00:0193700|-87.21|00:0150264|-90.08|01:1884838|684.78|01:4659465|867.99|-|-|-|-|
